Название улицы,contains_kgiop_objects,density,WKT
"1-й Бадаевский проезд","0","0","MULTILINESTRING ((3384252.2372084116 8357215.463927441, 3383925.124884715 8356918.716732745, 3383882.5340475375 8356898.596084636), (3383594.839955531 8356595.70838074, 3383542.0856488445 8356544.9331876105), (3383838.440397234 8356824.555228175, 3383737.0951328166 8356730.904016142, 3383669.858160377 8356668.795170106, 3383646.8595535792 8356647.546362041), (3384406.9490367156 8357295.86176081, 3384396.329157294 8357304.4505679235, 3384384.4068398303 8357295.042725601, 3384322.6133904904 8357240.411068896, 3384290.3530020593 8357238.9943700535, 3384252.2372084116 8357215.463927441), (3383646.8595535792 8356647.546362041, 3383594.839955531 8356595.70838074), (3383542.0856488445 8356544.9331876105, 3383516.8383883326 8356520.984416552, 3383513.231636831 8356517.9520915635, 3383475.4498016555 8356485.371276879), (3383882.5340475375 8356898.596084636, 3383876.0663851225 8356883.588640246, 3383862.7971018194 8356856.075071475, 3383838.440397234 8356824.555228175))"
"1-й проезд","0","0","MULTILINESTRING ((3377194.347721187 8340527.9980870215, 3377051.6027381425 8340647.0639369665), (3386118.9426175747 8330656.430424154, 3386254.785792189 8330693.463156824), (3369991.4534652554 8328827.831019869, 3370138.562172339 8328965.14330401))"
"1-я Краснофлотская улица","0","0","LINESTRING (3391605.791263182 8329942.456217252, 3391541.3150141146 8329818.159591728, 3391473.788611 8329680.434491926, 3391456.3671106906 8329645.965024744, 3391433.4909553328 8329611.451611876, 3391408.455201853 8329599.432601792, 3391395.542140921 8329583.488147028, 3391384.3100043 8329567.653992254, 3391378.6772380657 8329547.056409947, 3391374.8367156335 8329511.352599772, 3391370.8292139648 8329487.954458276, 3391278.411772708 8329310.871963294, 3391254.2331793075 8329263.305196805)"
"1-я Новая улица","0","0","LINESTRING (3382573.572683096 8331290.423776721, 3382409.7215245976 8330922.611453648, 3382402.096139478 8330913.70036579)"
"1-я Советская улица","0","0","MULTILINESTRING ((3387364.5075320094 8329267.009968733, 3387366.7673176727 8329519.335771506, 3387370.1959579894 8329638.797689317, 3387372.5893270415 8329656.219839826), (3389068.207810804 8338703.886889148, 3389067.9740398736 8338728.197459451, 3389046.6786212847 8339025.296316037), (3387381.0496083414 8330149.768939089, 3387380.971684698 8330134.881927436, 3387380.693385971 8330079.348124919, 3387380.5598025816 8330053.301636163, 3387380.270371906 8330008.001695781, 3387381.149795883 8329969.649139618, 3387380.893761054 8329955.18152207, 3387379.9475453827 8329874.46332218, 3387378.4002044606 8329779.543376002, 3387375.5281615984 8329675.075504706, 3387372.5893270415 8329656.219839826))"
"1-я Угловая улица","0","0","LINESTRING (3382398.8344783974 8332132.898803694, 3382299.3593814247 8332179.469246913, 3382279.2105535916 8332184.785929163, 3382217.840118317 8332210.200164394, 3382149.356367581 8332241.041515199, 3382107.8230655664 8332255.888649158, 3382097.6150682596 8332253.263373672)"
"1-я линия","0","0","MULTILINESTRING ((3384148.9438529043 8340358.998993328, 3384155.322459727 8340265.578519583, 3384137.711716283 8340214.51799418), (3377402.8936552387 8340723.305960567, 3377384.9044255274 8340705.195095727, 3377194.347721187 8340527.9980870215, 3377030.4631668413 8340393.474317751, 3376931.5557992714 8340295.79096903, 3376754.513281114 8340140.8651333, 3376617.089369729 8340011.295301471, 3376450.2882447247 8339854.652893395, 3376445.1007564543 8339850.12570557, 3376417.6493700244 8339821.946784225, 3376385.722940065 8339801.541425545, 3376367.7448423016 8339770.182650897, 3376311.406048011 8339653.714677489, 3376215.53770254 8339439.996086495, 3376168.226918953 8339320.397639684), (3390639.894305467 8321923.610260984, 3390800.4504070384 8321676.4342397805, 3391109.951987291 8321210.016657911), (3393712.1230082274 8328004.9589812895, 3393048.7478986923 8327921.991118126), (3388831.375594142 8338087.228891605, 3389412.1182456603 8338254.166811569), (3388380.9435385447 8338709.959004116, 3388397.0626008115 8338508.9415311385, 3388404.6211942364 8338373.747992951), (3388831.375594142 8338087.228891605, 3388817.9949913486 8338083.011886806, 3388832.5667126933 8338019.580476897, 3388863.6916423193 8338017.615502832, 3388882.994442022 8338006.973742257, 3388892.055848573 8337989.642277054, 3388893.0354600917 8337960.499013241, 3388892.45659874 8337938.023453479, 3388898.757281919 8337918.329797217, 3388914.1193716484 8337897.068655516, 3388932.3646361893 8337884.042648779, 3388970.9924994945 8337853.817986054, 3389006.3920975667 8337823.792147014, 3389049.728775332 8337787.032738215, 3389077.269217355 8337763.674602343))"
"13-я линия","0","0","LINESTRING (3366632.0872679437 8325267.59940294, 3366498.5706706853 8325006.536814375, 3366415.4484069105 8324832.867528535, 3366396.3682461884 8324795.37930076, 3366378.557127662 8324761.042807491)"
"2-й Бадаевский проезд","0","0","MULTILINESTRING ((3384163.827268823 8356152.156597485, 3384017.6981732585 8356012.810702424, 3383958.042058143 8355954.802330871, 3383902.69400732 8355923.662580474, 3383854.7487026355 8355888.760543068, 3383821.4530429393 8355856.8464593), (3384163.827268823 8356152.156597485, 3384412.8267058292 8356386.478761094), (3386128.627413274 8357976.909933666, 3386123.528980595 8357972.172375134, 3386105.7735218136 8357955.701634565, 3386089.7546470887 8357940.84700625, 3385609.2997248247 8357503.678280605, 3385354.4894103995 8357272.176184742))"
"2-й проезд","0","0","MULTILINESTRING ((3370221.049915016 8328585.252955682, 3370355.980269807 8328719.495699823, 3370501.7865388487 8328849.088126397, 3370562.9120712425 8328909.684446214, 3370643.841341049 8328981.725914101), (3370643.841341049 8328981.725914101, 3370779.2615016 8329111.344991845))"
