type,id,tags,tags_highway,tags_lanes,tags_lit,tags_maxspeed,tags_name,tags_oneway,tags_surface,tags_width,tags_foot,tags_parking:lane:both,tags_name:ru,tags_sidewalk,tags_destination,tags_destination:ref,tags_int_ref,tags_source:maxspeed,tags_official_name,tags_ref,tags_snowplowing,tags_surface:grade,tags_side_road,tags_motor_vehicle,tags_bridge,tags_layer,tags_note,tags_name:en,tags_old_name,tags_smoothness,tags_access,tags_addr:postcode,tags_addr:suburb,tags_junction,tags_postal_code,tags_vehicle,tags_living_street,tags_historic,tags_source,tags_lane_markings,tags_incline,tags_maxweight,tags_comment,tags_name:de,tags_name:fi,tags_short_name,tags_placement,tags_turn:lanes,tags_name:it,tags_old_ref,tags_embankment,tags_start_date,tags_psv,tags_destination:symbol,tags_material,tags_wikidata,tags_wikipedia,tags_tunnel,tags_service,tags_maxheight,tags_name:zh,tags_parking:lane:left,tags_parking:lane:right,tags_check_date:surface,tags_hgv,tags_covered,tags_check_date:lit,tags_fixme,tags_bridge:structure,tags_ref:okn,tags_maxaxleload,tags_horse,tags_alt_name,tags_construction,tags_source:name,tags_proposed,tags_description,tags_maxspeed:backward,tags_maxspeed:forward,tags_tracktype,tags_name:be,tags_check_date,tags_motorcar,tags_parking:lane:right:capacity,tags_parking:lane:right:parallel,tags_oneway:bicycle,tags_oneway:psv,tags_noname,tags_old_name:2:ru,tags_old_name:en,tags_old_name:ru,tags_short_name:ru,tags_source:maxheight,tags_bicycle,tags_bus,tags_date_off,tags_date_on,tags_lanes:backward,tags_turn:lanes:backward,tags_toll,tags_motorway,tags_traffic_sign,tags_lanes:forward,tags_turn:backward,tags_waterway,tags_proposed:oneway,tags_turn,tags_footway,tags_admin_level,tags_boundary,WKT
"way","4414959","","residential","2","yes","RU:urban","бульвар Алексея Толстого","yes","asphalt","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3386560.825336278 8339904.672982652, 3386543.1144052935 8339916.289175476, 3386532.817352395 8339923.135229231, 3386485.4954368584 8339954.582989963, 3386228.6925035473 8340122.534850293, 3386039.972570806 8340246.342441101, 3385956.917098725 8340300.826389289, 3385762.1859134804 8340428.568198943, 3385759.9929195116 8340430.003760881, 3385636.0164026152 8340511.323278909, 3385506.240140248 8340596.464581234, 3385305.286195468 8340728.275412952, 3385296.68119883 8340733.929549506)"
"way","4414960","","residential","2","yes","RU:urban","Ахматовская улица",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3386296.0741913244 8339493.502444113, 3386326.186113584 8339472.038022971, 3386358.7470646407 8339447.967912968, 3386459.8028983832 8339373.925213219, 3386517.0322486 8339336.296878448, 3386546.5653095082 8339317.747769887)"
"way","4414988","","secondary","2","yes","RU:urban","Садовая улица",,"asphalt",,"no","no_stopping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3385061.1514202096 8336249.836376683, 3385080.064601695 8336238.005218679)"
"way","4456239","","secondary","1","yes","RU:urban","площадь Египетские Ворота","yes","asphalt",,"no",,"площадь Египетские Ворота","right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3383520.645514918 8339537.623950157, 3383522.2262516874 8339552.242845635, 3383522.237383636 8339579.559499786, 3383524.8088638736 8339596.2542872345, 3383534.170833049 8339621.42903808)"
"way","4460441","","trunk","1","yes","RU:urban",,"yes","asphalt",,,,,,"Россия;Москва","М-10;E 105","E 105","implicit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3380805.07332871 8358710.316249065, 3380674.506697959 8358736.995396883, 3380648.7028399934 8358748.5969817145, 3380628.0085466546 8358760.619253941, 3380600.790931155 8358787.453567582, 3380584.349042366 8358813.380212481, 3380578.404581557 8358827.79378376, 3380574.731038361 8358841.609583583, 3380570.4229740673 8358864.923804441, 3380570.8014603364 8358890.717876318, 3380580.4417282385 8358929.398082708, 3380589.0021970808 8358947.088754126, 3380601.0469659846 8358963.605990003, 3380613.8153115786 8358976.934939214, 3380633.0513195875 8358991.6366652725, 3380655.2929538484 8359002.131590044, 3380682.35472206 8359010.633818529, 3380711.843255171 8359016.611953799, 3380735.6767581496 8359018.671090403, 3380755.3469121726 8359017.3204738535, 3380769.250716573 8359016.501247545, 3380788.208425855 8359011.563750363, 3380815.6820761836 8358997.747632313, 3380870.751828278 8358980.344674275)"
"way","8036519","","service",,,,,"yes","asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3395365.195182609 8343322.874544017, 3395387.4813446654 8343294.196296544, 3395407.485457162 8343287.921563871, 3395419.162871746 8343276.322160127)"
"way","8146528","","trunk","2","yes","RU:urban","Московское шоссе","yes","asphalt",,,,,,,,"E 105;AH8","implicit","Россия","М-10","yes","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3384171.263410808 8355479.155309174, 3383984.057423141 8355681.299334337)"
"way","13929677","","residential","2","yes","RU:urban",,,"asphalt",,,,,,,,,,,,,,"double",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3383513.7437064885 8342262.008198397, 3383514.723318008 8342241.662369144, 3383541.5958430846 8341718.919699557, 3383547.4512483007 8341605.668082978, 3383549.288019899 8341569.243268644)"
"way","13929785","","unclassified","2","no","RU:urban","Детскосельский бульвар",,"asphalt",,,,,,,,,,,,,,,"private",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3382394.025476395 8342201.037151412, 3382820.9357235874 8342224.409326588)"
"way","18171829","","primary","1",,,,"yes","asphalt",,,,,,"Московское шоссе;Пулковское шоссе;Таллинское шоссе",,,,,,,,,,"yes","1","заезд на КАД",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3388592.23906402 8362913.083749335, 3388622.206270941 8362794.699349014, 3388674.1145494976 8362639.499923546, 3388696.5120310457 8362565.755865517, 3388712.7869406 8362499.322603601, 3388723.529271461 8362435.72533315, 3388722.4383404506 8362335.246750475, 3388717.7517898893 8362265.360007082, 3388707.6662440225 8362198.397830915, 3388693.695647929 8362134.803154536, 3388675.3167999987 8362074.7309438735, 3388647.4201356056 8362000.017921886, 3388616.6959561473 8361932.194303935, 3388528.3862041 8361741.861791763)"
"way","18821520","","tertiary","2","yes","RU:urban","Софийский бульвар","yes","asphalt","12","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3387254.401423666 8338247.432699967, 3387237.9261390287 8338221.843131883, 3387217.855234839 8338191.043035935, 3387181.375837705 8338134.9408256365)"
"way","18821571","","secondary","2","yes","RU:urban","Новодеревенская улица","yes","asphalt",,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3387421.503111296 8337954.692452449, 3387411.0390791614 8337949.87941312, 3387357.037994177 8337929.192210995, 3387257.12875119 8337892.321887691, 3387205.9106534766 8337873.047833854, 3387012.5153021207 8337800.500128011, 3386967.06355403 8337783.765244065, 3386944.243058418 8337775.552359745)"
"way","18822071","","residential","1","yes","RU:urban","Железнодорожная улица","no","asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3387657.734202708 8336076.123329721, 3387660.216627353 8336094.818807081, 3387663.667531567 8336102.01448158, 3387696.606968893 8336157.350777074, 3387763.220552184 8336267.450710467, 3387775.7885226943 8336288.574722542, 3387801.5812487113 8336331.683787291, 3387804.5757430135 8336340.115799677, 3387805.6666740235 8336350.0488109095, 3387804.5868749623 8336360.003908903, 3387798.9095809315 8336386.602407275, 3387788.7127155755 8336433.045160207, 3387747.6914832178 8336608.97401612, 3387705.7240351895 8336786.077020298, 3387670.2019856772 8336934.861836711, 3387655.2295141653 8336999.564299524, 3387610.857565135 8337191.732410406, 3387603.120860525 8337223.278922677)"
"way","23058611","","residential",,"yes",,"улица Горького",,"asphalt",,,,,,,,,,,,,,,,,,,"Gorky street","2-ая улица под Дубками",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3390881.045718373 8329932.7744142255, 3390762.256689747 8329752.659904664, 3390687.9843254904 8329640.054729181, 3390682.7634413717 8329632.115533629)"
"way","23058612","","residential",,,,"Артиллерийская улица",,"asphalt",,,,,,,,,,,,,,,,,,,,,"intermediate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3389614.096329756 8328560.755241053, 3389566.3959279517 8328496.30304587, 3389483.5185670555 8328389.471959216, 3389439.224541669 8328333.907174915, 3389426.189029297 8328317.700858202, 3389260.089217085 8328106.140025254, 3389223.8881186787 8328056.817124924, 3389135.990248748 8327943.840922098, 3389099.8893378843 8327899.546078999, 3389064.7346426914 8327858.580751139, 3389047.3465382294 8327861.998194454, 3388993.6014880743 8327899.39174203, 3388973.7086950704 8327900.0311380625, 3388956.3094586595 8327895.930185161, 3388780.8588092197 8327783.882449453, 3388769.749124038 8327766.9277157625, 3388749.043698751 8327664.626897185)"
"way","23232478","","secondary","2","yes","RU:urban","площадь Египетские Ворота","yes","asphalt",,"no",,"площадь Египетские Ворота",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3383461.946747422 8339707.112166521, 3383468.1917708563 8339664.513394128, 3383474.6371693728 8339643.733055706, 3383504.582112396 8339576.578291711)"
"way","23232484","","secondary","2","yes","RU:urban","Петербургское шоссе","yes","asphalt",,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3383455.545876702 8340706.85157542, 3383457.9837735505 8340663.871569204, 3383460.911476158 8340610.135870144, 3383469.705715931 8340448.6440058425, 3383490.912078927 8340001.445702097, 3383492.4260240016 8339968.893532155, 3383496.0773032997 8339907.742659206, 3383491.4798083296 8339877.885139957, 3383483.6874439744 8339849.198184505)"
"way","23233378","","residential","2","yes","RU:urban","бульвар Алексея Толстого","yes","asphalt","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3385243.336898842 8340659.7635241505, 3385255.7824179125 8340651.900820641, 3385709.8323569605 8340354.8027764885, 3385714.0736295595 8340352.042108812, 3385975.9638636 8340180.838558848, 3386243.5313916705 8340005.928814086, 3386442.4036619724 8339875.9196713995, 3386493.877794515 8339842.285947846, 3386512.546073121 8339830.073609441)"
