type,id,tags,tags_highway,tags_lanes,tags_lit,tags_maxspeed,tags_name,tags_oneway,tags_surface,tags_width,tags_foot,tags_parking:lane:both,tags_name:ru,tags_sidewalk,tags_destination,tags_destination:ref,tags_int_ref,tags_source:maxspeed,tags_official_name,tags_ref,tags_snowplowing,tags_surface:grade,tags_side_road,tags_motor_vehicle,tags_bridge,tags_layer,tags_note,tags_name:en,tags_old_name,tags_smoothness,tags_access,tags_addr:postcode,tags_addr:suburb,tags_junction,tags_postal_code,tags_vehicle,tags_living_street,tags_historic,tags_source,tags_lane_markings,tags_incline,tags_maxweight,tags_comment,tags_name:de,tags_name:fi,tags_short_name,tags_placement,tags_turn:lanes,tags_name:it,tags_old_ref,tags_embankment,tags_start_date,tags_psv,tags_destination:symbol,tags_material,tags_wikidata,tags_wikipedia,tags_tunnel,tags_service,tags_maxheight,tags_name:zh,tags_parking:lane:left,tags_parking:lane:right,tags_check_date:surface,tags_hgv,tags_covered,tags_check_date:lit,tags_fixme,tags_bridge:structure,tags_ref:okn,tags_maxaxleload,tags_horse,tags_alt_name,tags_construction,tags_source:name,tags_proposed,tags_description,tags_maxspeed:backward,tags_maxspeed:forward,tags_tracktype,tags_name:be,tags_check_date,tags_motorcar,tags_parking:lane:right:capacity,tags_parking:lane:right:parallel,tags_oneway:bicycle,tags_oneway:psv,tags_noname,tags_old_name:2:ru,tags_old_name:en,tags_old_name:ru,tags_short_name:ru,tags_source:maxheight,tags_bicycle,tags_bus,tags_date_off,tags_date_on,tags_lanes:backward,tags_turn:lanes:backward,tags_toll,tags_motorway,tags_traffic_sign,tags_lanes:forward,tags_turn:backward,tags_waterway,tags_proposed:oneway,tags_turn,tags_footway,tags_admin_level,tags_boundary,WKT
"way","4414959","","residential","2","yes","RU:urban","бульвар Алексея Толстого","yes","asphalt","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4219935 59.7301609, 30.4218344 59.7302135, 30.4217419 59.7302445, 30.4213168 59.7303869, 30.4190099 59.7311474, 30.4173146 59.731708, 30.4165685 59.7319547, 30.4148192 59.7325331, 30.4147995 59.7325396, 30.4136858 59.7329078, 30.41252 59.7332933, 30.4107148 59.73389010000001, 30.4106375 59.73391569999998)"
"way","4414960","","residential","2","yes","RU:urban","Ахматовская улица",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4196152 59.728299, 30.4198857 59.7282018, 30.4201782 59.7280928, 30.421086 59.7277575, 30.4216001 59.7275871, 30.4218654 59.7275031)"
"way","4414988","","secondary","2","yes","RU:urban","Садовая улица",,"asphalt",,"no","no_stopping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4085217 59.7136071, 30.4086916 59.7135535)"
"way","4456239","","secondary","1","yes","RU:urban","площадь Египетские Ворота","yes","asphalt",,"no",,"площадь Египетские Ворота","right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3946831 59.7284988, 30.3946973 59.728565, 30.3946974 59.72868870000001, 30.3947205 59.7287643, 30.3948046 59.728878299999984)"
"way","4460441","","trunk","1","yes","RU:urban",,"yes","asphalt",,,,,,"Россия;Москва","М-10;E 105","E 105","implicit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3702887 59.8152076, 30.3691158 59.8153281, 30.368884 59.81538050000001, 30.3686981 59.8154348, 30.368453599999988 59.815556, 30.3683059 59.8156731, 30.3682525 59.8157382, 30.3682195 59.8158006, 30.3681808 59.8159059, 30.3681842 59.8160224, 30.3682708 59.81619709999999, 30.3683477 59.816277, 30.3684559 59.81635159999998, 30.3685706 59.8164118, 30.3687434 59.8164782, 30.3689432 59.816525599999984, 30.3691863 59.816564, 30.3694512 59.816591, 30.3696653 59.8166003, 30.369842 59.8165942, 30.3699669 59.8165905, 30.3701372 59.8165682, 30.370384 59.8165058, 30.3708787 59.8164272)"
"way","8036519","","service",,,,,"yes","asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.5010845 59.7456355, 30.5012847 59.74550570000001, 30.5014644 59.7454773, 30.5015693 59.7454248)"
"way","8146528","","trunk","2","yes","RU:urban","Московское шоссе","yes","asphalt",,,,,,,,"E 105;AH8","implicit","Россия","М-10","yes","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4005277 59.8006104, 30.398846 59.8015238)"
"way","13929677","","residential","2","yes","RU:urban",,,"asphalt",,,,,,,,,,,,,,"double",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3946211 59.74083359999999, 30.3946299 59.7407415, 30.3948713 59.7383751, 30.3949239 59.7378624, 30.3949404 59.7376975)"
"way","13929785","","unclassified","2","no","RU:urban","Детскосельский бульвар",,"asphalt",,,,,,,,,,,,,,,"private",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3845625 59.7405576, 30.3883975 59.7406634)"
"way","18171829","","primary","1",,,,"yes","asphalt",,,,,,"Московское шоссе;Пулковское шоссе;Таллинское шоссе",,,,,,,,,,"yes","1","заезд на КАД",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.440242 59.834184599999986, 30.4405112 59.8336502, 30.4409775 59.8329496, 30.4411787 59.8326167, 30.4413249 59.83231679999999, 30.4414214 59.8320297, 30.4414116 59.8315761, 30.4413695 59.8312606, 30.4412789 59.8309583, 30.4411534 59.83067119999998, 30.4409883 59.8304, 30.4407377 59.8300627, 30.4404617 59.8297565, 30.4396684 59.8288972)"
