Название улицы,contains_kgiop_objects,density,WKT
"1-й Бадаевский проезд","0","0","MULTILINESTRING ((30.4012551 59.80845519999998, 30.398316599999987 59.80711459999998, 30.397934 59.807023699999974), (30.395349599999985 59.8056553, 30.39487569999999 59.80542589999999), (30.39753789999999 59.80668919999999, 30.3966275 59.80626609999998, 30.3960235 59.805985499999984, 30.3958169 59.80588949999997), (30.402644899999988 59.80881839999998, 30.40254949999999 59.808857199999984, 30.4024424 59.808814699999985, 30.4018873 59.80856789999997, 30.4015975 59.80856149999999, 30.4012551 59.80845519999998), (30.3958169 59.80588949999997, 30.395349599999985 59.8056553), (30.39487569999999 59.80542589999999, 30.3946489 59.805317699999975, 30.394616499999987 59.805304, 30.394277099999986 59.8051568), (30.397934 59.807023699999974, 30.3978759 59.806955899999984, 30.397756699999984 59.80683159999998, 30.39753789999999 59.80668919999999))"
"1-й проезд","0","0","MULTILINESTRING ((30.337853 59.7329833, 30.336570699999985 59.733522399999984), (30.418024 59.68825709999999, 30.41924429999999 59.688425), (30.2731483 59.6799655, 30.2744698 59.6805882))"
"1-я Краснофлотская улица","0","0","LINESTRING (30.46731319999999 59.6850199, 30.466734 59.6844563, 30.4661274 59.68383179999998, 30.4659709 59.68367549999998, 30.4657654 59.683519, 30.4655405 59.683464499999985, 30.4654245 59.683392199999986, 30.4653236 59.68332039999998, 30.465273 59.683227, 30.465238499999987 59.683065099999965, 30.465202499999986 59.682959, 30.464372299999983 59.682156, 30.46415509999998 59.6819403)"
"1-я Новая улица","0","0","LINESTRING (30.3861754 59.69113139999998, 30.3847035 59.68946389999998, 30.384635 59.68942349999998)"
"1-я Советская улица","0","0","MULTILINESTRING ((30.4292131 59.6819571, 30.4292334 59.683101299999976, 30.4292642 59.683643, 30.4292857 59.683722), (30.444517699999984 59.724723099999984, 30.4445156 59.724833199999985, 30.444324299999987 59.7261787), (30.4293617 59.68595989999997, 30.429361 59.68589239999997, 30.4293585 59.68564059999997, 30.429357299999985 59.68552249999997, 30.4293547 59.68531709999998, 30.4293626 59.6851432, 30.42936029999999 59.68507759999997, 30.4293518 59.68471159999998, 30.4293379 59.6842812, 30.4293121 59.6838075, 30.4292857 59.683722))"
"1-я Угловая улица","0","0","LINESTRING (30.384605699999987 59.69495049999998, 30.3837121 59.69516159999998, 30.3835311 59.69518569999999, 30.3829798 59.695300899999985, 30.3823646 59.695440699999985, 30.3819915 59.695508, 30.381899799999985 59.695496099999986)"
"1-я линия","0","0","MULTILINESTRING ((30.4003272 59.732218099999976, 30.4003845 59.73179509999997, 30.4002263 59.7315639), (30.339726399999982 59.7338676, 30.3395648 59.733785599999976, 30.337853 59.7329833, 30.3363808 59.73237419999998, 30.3354923 59.73193189999998, 30.3339019 59.7312304, 30.3326674 59.7306437, 30.331169 59.72993439999998, 30.3311224 59.7299139, 30.3308758 59.72978629999997, 30.330589 59.72969389999997, 30.3304275 59.72955189999998, 30.3299214 59.72902449999997, 30.3290602 59.7280567, 30.3286352 59.72751509999998), (30.4586364 59.648640499999985, 30.4600787 59.647518499999975, 30.462859 59.6454012), (30.4862347 59.67623359999999, 30.4802755 59.67585729999998), (30.4423902 59.72193019999999, 30.44760709999998 59.72268629999998), (30.43834389999999 59.72475059999998, 30.438488699999986 59.72384019999998, 30.4385566 59.723227899999976), (30.4423902 59.72193019999999, 30.44227 59.721911099999986, 30.4424009 59.721623799999975, 30.4426805 59.721614899999985, 30.442853899999985 59.72156669999997, 30.4429353 59.72148819999999, 30.442944099999988 59.721356199999974, 30.4429389 59.72125439999997, 30.4429955 59.7211652, 30.4431335 59.7210689, 30.443297399999988 59.721009899999984, 30.4436444 59.720873, 30.4439624 59.720737, 30.444351699999988 59.72057049999999, 30.4445991 59.72046469999999))"
"13-я линия","0","0","LINESTRING (30.2429706 59.663816099999984, 30.24177119999998 59.66263159999997, 30.2410245 59.66184359999998, 30.24085309999999 59.66167349999998, 30.2406931 59.66151769999997)"
"2-й Бадаевский проезд","0","0","MULTILINESTRING ((30.4004609 59.803651299999984, 30.39914819999999 59.803021699999974, 30.3986123 59.80275959999997, 30.398115099999984 59.8026189, 30.3976844 59.80246119999999, 30.39738529999999 59.802317), (30.4004609 59.803651299999984, 30.402697699999983 59.80471), (30.418111 59.8118949, 30.418065199999987 59.81187349999997, 30.4179057 59.8117991, 30.4177618 59.811732, 30.413445799999987 59.80975719999998, 30.4111568 59.808711399999986))"
"2-й проезд","0","0","MULTILINESTRING ((30.275210799999986 59.67886539999997, 30.2764229 59.67947419999999, 30.2777327 59.680061899999984, 30.2782818 59.68033669999998, 30.279008799999982 59.6806634), (30.279008799999982 59.6806634, 30.2802253 59.6812512))"
"2-я Боковая улица","0","0","LINESTRING (30.3815525 59.69393309999999, 30.3816794 59.693922, 30.3823874 59.69380109999997, 30.3831346 59.6936713, 30.3843686 59.69347279999998)"
"2-я Краснофлотская улица","1","0.0007733297765821757","MULTILINESTRING ((30.4623077 59.67905409999997, 30.4629019 59.67948379999997, 30.4635916 59.680020899999974, 30.4641538 59.68042929999997), (30.4641538 59.68042929999997, 30.464602299999985 59.6807483, 30.4650251 59.68107759999999, 30.4655248 59.68148019999998, 30.46666049999999 59.6825633, 30.466952 59.6828456, 30.467515399999986 59.6833813, 30.4679903 59.6838274, 30.468243 59.68408449999998))"
"2-я Новая улица","0","0","LINESTRING (30.3840123 59.691642499999965, 30.382940499999986 59.690386899999964, 30.382839499999985 59.690301599999984, 30.3827359 59.690212599999974, 30.3826332 59.690178899999985)"
"2-я Советская улица","0","0","LINESTRING (30.4460669 59.72740149999998, 30.446514199999985 59.72543159999997, 30.4465878 59.72532459999998)"
"2-я Угловая улица","0","0","LINESTRING (30.381899799999985 59.695496099999986, 30.3818472 59.695472, 30.3815525 59.69393309999999, 30.3814228 59.69330839999998, 30.3813214 59.6928012, 30.3812097 59.6921877, 30.3812391 59.69212109999997, 30.3813021 59.69209979999997)"
"2-я линия","0","0","MULTILINESTRING ((30.3990313 59.73274679999999, 30.3989856 59.73271349999999, 30.3989488 59.73266649999998, 30.3989456 59.732613, 30.399061799999988 59.7310258), (30.3356633 59.73330039999997, 30.334967899999985 59.732988899999974, 30.3332873 59.732300399999986, 30.3308127 59.7311595, 30.3298144 59.73073529999997, 30.3292927 59.73045649999997, 30.3289845 59.73024649999998, 30.328493 59.72981819999998, 30.328018199999985 59.7293018, 30.3274185 59.72876429999997, 30.327188 59.7285327, 30.326952 59.72826039999999, 30.3260712 59.727393299999974), (30.3260712 59.727393299999974, 30.3259594 59.72719019999999, 30.3258768 59.72710419999998), (30.4595481 59.64888989999998, 30.4612567 59.64757829999997, 30.4637172 59.645694), (30.3258768 59.72710419999998, 30.3257812 59.726989), (30.3257812 59.726989, 30.3255852 59.7267306, 30.3255799 59.72670809999998, 30.325031799999987 59.7260437, 30.3247994 59.7257527, 30.324633 59.72553939999998, 30.3244179 59.7252152, 30.324243 59.7249611, 30.32418979999999 59.724877499999984, 30.3241867 59.72481519999997), (30.4862347 59.67623359999999, 30.4863964 59.676123699999984, 30.4864709 59.67595129999997, 30.486391699999988 59.67508419999997, 30.4861003 59.6749677, 30.48597189999999 59.67481619999998, 30.484127 59.67460909999997), (30.442159499999985 59.722256, 30.4430672 59.72238009999998, 30.4432825 59.722504199999975, 30.4473869 59.7230881), (30.4374048 59.72458319999998, 30.4375952 59.7236755, 30.43758 59.7230498), (30.484127 59.67460909999997, 30.483615 59.674666399999985, 30.481481299999988 59.67454239999998, 30.4809085 59.67447779999998))"
